Solution_ID,Iteration,Reward,Method,Timestamp
1,1,1.0,Simulated Annealing,2025-07-28_13-07-55
2,2,1.0,Simulated Annealing,2025-07-28_13-07-55
3,3,1.0,Simulated Annealing,2025-07-28_13-07-55
4,4,1.0,Simulated Annealing,2025-07-28_13-07-55
5,5,1.0,Simulated Annealing,2025-07-28_13-07-55
6,6,1.0,Simulated Annealing,2025-07-28_13-07-55
7,7,1.0,Simulated Annealing,2025-07-28_13-07-55
8,8,1.0,Simulated Annealing,2025-07-28_13-07-55
9,9,1.0,Simulated Annealing,2025-07-28_13-07-55
10,10,1.0,Simulated Annealing,2025-07-28_13-07-55
11,11,1.0,Simulated Annealing,2025-07-28_13-07-55
12,12,1.0,Simulated Annealing,2025-07-28_13-07-55
13,13,1.0,Simulated Annealing,2025-07-28_13-07-55
14,14,1.0,Simulated Annealing,2025-07-28_13-07-55
15,15,1.0,Simulated Annealing,2025-07-28_13-07-55
16,16,1.0,Simulated Annealing,2025-07-28_13-07-55
17,17,1.0,Simulated Annealing,2025-07-28_13-07-55
18,18,1.0,Simulated Annealing,2025-07-28_13-07-55
19,19,1.0,Simulated Annealing,2025-07-28_13-07-55
20,20,1.0,Simulated Annealing,2025-07-28_13-07-55
21,21,1.0,Simulated Annealing,2025-07-28_13-07-55
22,22,1.0,Simulated Annealing,2025-07-28_13-07-55
23,23,1.0,Simulated Annealing,2025-07-28_13-07-55
24,24,1.0,Simulated Annealing,2025-07-28_13-07-55
25,25,1.0,Simulated Annealing,2025-07-28_13-07-55
26,26,1.0,Simulated Annealing,2025-07-28_13-07-55
27,27,1.0,Simulated Annealing,2025-07-28_13-07-55
28,28,1.0,Simulated Annealing,2025-07-28_13-07-55
29,29,1.0,Simulated Annealing,2025-07-28_13-07-55
30,30,1.0,Simulated Annealing,2025-07-28_13-07-55
31,31,1.0,Simulated Annealing,2025-07-28_13-07-55
32,32,1.0,Simulated Annealing,2025-07-28_13-07-55
33,33,1.0,Simulated Annealing,2025-07-28_13-07-55
34,34,1.0,Simulated Annealing,2025-07-28_13-07-55
35,35,1.0,Simulated Annealing,2025-07-28_13-07-55
36,36,1.0,Simulated Annealing,2025-07-28_13-07-55
37,37,1.0,Simulated Annealing,2025-07-28_13-07-55
38,38,1.0,Simulated Annealing,2025-07-28_13-07-55
39,39,1.0,Simulated Annealing,2025-07-28_13-07-55
40,40,1.0,Simulated Annealing,2025-07-28_13-07-55
41,41,1.0,Simulated Annealing,2025-07-28_13-07-55
42,42,1.0,Simulated Annealing,2025-07-28_13-07-55
43,43,1.0,Simulated Annealing,2025-07-28_13-07-55
44,44,1.0,Simulated Annealing,2025-07-28_13-07-55
45,45,1.0,Simulated Annealing,2025-07-28_13-07-55
46,46,1.0,Simulated Annealing,2025-07-28_13-07-55
47,47,1.0,Simulated Annealing,2025-07-28_13-07-55
48,48,1.0,Simulated Annealing,2025-07-28_13-07-55
49,49,1.0,Simulated Annealing,2025-07-28_13-07-55
50,50,1.0,Simulated Annealing,2025-07-28_13-07-55
51,51,1.0,Simulated Annealing,2025-07-28_13-07-55
52,52,1.0,Simulated Annealing,2025-07-28_13-07-55
53,53,1.0,Simulated Annealing,2025-07-28_13-07-55
54,54,1.0,Simulated Annealing,2025-07-28_13-07-55
55,55,1.0,Simulated Annealing,2025-07-28_13-07-55
56,56,1.0,Simulated Annealing,2025-07-28_13-07-55
57,57,1.0,Simulated Annealing,2025-07-28_13-07-55
58,58,1.0,Simulated Annealing,2025-07-28_13-07-55
59,59,1.0,Simulated Annealing,2025-07-28_13-07-55
60,60,1.0,Simulated Annealing,2025-07-28_13-07-55
61,61,1.0,Simulated Annealing,2025-07-28_13-07-55
62,62,1.0,Simulated Annealing,2025-07-28_13-07-55
63,63,1.0,Simulated Annealing,2025-07-28_13-07-55
64,64,1.0,Simulated Annealing,2025-07-28_13-07-55
65,65,1.0,Simulated Annealing,2025-07-28_13-07-55
66,66,1.0,Simulated Annealing,2025-07-28_13-07-55
67,67,1.0,Simulated Annealing,2025-07-28_13-07-55
