Method,Best_Reward,Mean_Reward,Std_Dev,Diversity,Coverage,N_Solutions,Elapsed_Time
GFlowNets,763.4085569170907,751.0768049835694,6.311910759134589,0.83,0.0631191075913459,100,1.23344087600708
Nonlinear Programming,773.7725446539393,759.6566078818951,19.96294922862611,1.0,0.1996294922862611,2,0.11236786842346191
Hill Climbing,754.8361010226524,750.2195273645133,4.74267876273652,1.0,0.0474267876273652,5,0.09710812568664551
Greedy,763.3693801009628,751.8983717256388,6.821230679102132,0.8,0.06821230679102132,100,0.09923791885375977
Simulated Annealing,763.2341894237055,751.7712361879255,7.006087504582308,0.86,0.07006087504582309,100,0.1125788688659668
Random Search,762.8862829326362,750.7964458203828,7.180051174032638,0.9,0.07180051174032638,50,0.09448599815368652
