Method,Best_Reward,Mean_Reward,Std_Dev,Diversity,Coverage,N_Solutions,Elapsed_Time
GFlowNets,1.0,1.0,0.0,0.01,0.0,100,1.1881051063537598
Nonlinear Programming,1.0482189640208672,1.0241094820104335,0.034095956440945374,0.5,0.00034095956440945374,2,0.11001181602478027
Hill Climbing,763.2672374922461,749.3100913105051,8.878797436429435,1.0,0.08878797436429435,5,0.36820507049560547
Greedy,763.4135517260131,751.8374114611746,7.281580751356946,0.84,0.07281580751356946,100,0.1100008487701416
Simulated Annealing,762.9509882744471,751.5031806915079,6.928072895726232,0.84,0.06928072895726232,100,0.108551025390625
Random Search,763.1974076343186,751.5491343213845,7.65070016623639,0.94,0.07650700166236389,50,0.09154009819030762
