Solution_ID,Iteration,Reward,Method,Timestamp
1,1,0.0,Simulated Annealing,2025-07-28_12-24-21
2,2,0.0,Simulated Annealing,2025-07-28_12-24-21
3,3,0.0,Simulated Annealing,2025-07-28_12-24-21
4,4,0.0,Simulated Annealing,2025-07-28_12-24-21
5,5,0.0,Simulated Annealing,2025-07-28_12-24-21
6,6,0.0,Simulated Annealing,2025-07-28_12-24-21
7,7,0.0,Simulated Annealing,2025-07-28_12-24-21
8,8,0.0,Simulated Annealing,2025-07-28_12-24-21
9,9,0.0,Simulated Annealing,2025-07-28_12-24-21
10,10,0.0,Simulated Annealing,2025-07-28_12-24-21
11,11,0.0,Simulated Annealing,2025-07-28_12-24-21
12,12,0.0,Simulated Annealing,2025-07-28_12-24-21
13,13,0.0,Simulated Annealing,2025-07-28_12-24-21
14,14,0.0,Simulated Annealing,2025-07-28_12-24-21
15,15,0.0,Simulated Annealing,2025-07-28_12-24-21
16,16,0.0,Simulated Annealing,2025-07-28_12-24-21
17,17,0.0,Simulated Annealing,2025-07-28_12-24-21
18,18,0.0,Simulated Annealing,2025-07-28_12-24-21
19,19,0.0,Simulated Annealing,2025-07-28_12-24-21
20,20,0.0,Simulated Annealing,2025-07-28_12-24-21
21,21,0.0,Simulated Annealing,2025-07-28_12-24-21
22,22,0.0,Simulated Annealing,2025-07-28_12-24-21
23,23,0.0,Simulated Annealing,2025-07-28_12-24-21
24,24,0.0,Simulated Annealing,2025-07-28_12-24-21
25,25,0.0,Simulated Annealing,2025-07-28_12-24-21
26,26,0.0,Simulated Annealing,2025-07-28_12-24-21
27,27,0.0,Simulated Annealing,2025-07-28_12-24-21
28,28,0.0,Simulated Annealing,2025-07-28_12-24-21
29,29,0.0,Simulated Annealing,2025-07-28_12-24-21
30,30,0.0,Simulated Annealing,2025-07-28_12-24-21
31,31,0.0,Simulated Annealing,2025-07-28_12-24-21
32,32,0.0,Simulated Annealing,2025-07-28_12-24-21
33,33,0.0,Simulated Annealing,2025-07-28_12-24-21
34,34,0.0,Simulated Annealing,2025-07-28_12-24-21
35,35,0.0,Simulated Annealing,2025-07-28_12-24-21
36,36,0.0,Simulated Annealing,2025-07-28_12-24-21
37,37,0.0,Simulated Annealing,2025-07-28_12-24-21
38,38,0.0,Simulated Annealing,2025-07-28_12-24-21
39,39,0.0,Simulated Annealing,2025-07-28_12-24-21
40,40,0.0,Simulated Annealing,2025-07-28_12-24-21
41,41,0.0,Simulated Annealing,2025-07-28_12-24-21
42,42,0.0,Simulated Annealing,2025-07-28_12-24-21
43,43,0.0,Simulated Annealing,2025-07-28_12-24-21
44,44,0.0,Simulated Annealing,2025-07-28_12-24-21
45,45,0.0,Simulated Annealing,2025-07-28_12-24-21
46,46,0.0,Simulated Annealing,2025-07-28_12-24-21
47,47,0.0,Simulated Annealing,2025-07-28_12-24-21
48,48,0.0,Simulated Annealing,2025-07-28_12-24-21
49,49,0.0,Simulated Annealing,2025-07-28_12-24-21
50,50,0.0,Simulated Annealing,2025-07-28_12-24-21
51,51,0.0,Simulated Annealing,2025-07-28_12-24-21
52,52,0.0,Simulated Annealing,2025-07-28_12-24-21
53,53,0.0,Simulated Annealing,2025-07-28_12-24-21
54,54,0.0,Simulated Annealing,2025-07-28_12-24-21
55,55,0.0,Simulated Annealing,2025-07-28_12-24-21
56,56,0.0,Simulated Annealing,2025-07-28_12-24-21
57,57,0.0,Simulated Annealing,2025-07-28_12-24-21
58,58,0.0,Simulated Annealing,2025-07-28_12-24-21
59,59,0.0,Simulated Annealing,2025-07-28_12-24-21
60,60,0.0,Simulated Annealing,2025-07-28_12-24-21
61,61,0.0,Simulated Annealing,2025-07-28_12-24-21
62,62,0.0,Simulated Annealing,2025-07-28_12-24-21
63,63,0.0,Simulated Annealing,2025-07-28_12-24-21
64,64,0.0,Simulated Annealing,2025-07-28_12-24-21
65,65,0.0,Simulated Annealing,2025-07-28_12-24-21
66,66,0.0,Simulated Annealing,2025-07-28_12-24-21
67,67,0.0,Simulated Annealing,2025-07-28_12-24-21
68,68,0.0,Simulated Annealing,2025-07-28_12-24-21
69,69,0.0,Simulated Annealing,2025-07-28_12-24-21
70,70,0.0,Simulated Annealing,2025-07-28_12-24-21
71,71,0.0,Simulated Annealing,2025-07-28_12-24-21
72,72,0.0,Simulated Annealing,2025-07-28_12-24-21
73,73,0.0,Simulated Annealing,2025-07-28_12-24-21
74,74,0.0,Simulated Annealing,2025-07-28_12-24-21
75,75,0.0,Simulated Annealing,2025-07-28_12-24-21
76,76,0.0,Simulated Annealing,2025-07-28_12-24-21
77,77,0.0,Simulated Annealing,2025-07-28_12-24-21
78,78,0.0,Simulated Annealing,2025-07-28_12-24-21
79,79,0.0,Simulated Annealing,2025-07-28_12-24-21
80,80,0.0,Simulated Annealing,2025-07-28_12-24-21
81,81,0.0,Simulated Annealing,2025-07-28_12-24-21
82,82,0.0,Simulated Annealing,2025-07-28_12-24-21
83,83,0.0,Simulated Annealing,2025-07-28_12-24-21
84,84,0.0,Simulated Annealing,2025-07-28_12-24-21
85,85,0.0,Simulated Annealing,2025-07-28_12-24-21
86,86,0.0,Simulated Annealing,2025-07-28_12-24-21
87,87,0.0,Simulated Annealing,2025-07-28_12-24-21
88,88,0.0,Simulated Annealing,2025-07-28_12-24-21
89,89,0.0,Simulated Annealing,2025-07-28_12-24-21
90,90,0.0,Simulated Annealing,2025-07-28_12-24-21
91,91,0.0,Simulated Annealing,2025-07-28_12-24-21
92,92,0.0,Simulated Annealing,2025-07-28_12-24-21
93,93,0.0,Simulated Annealing,2025-07-28_12-24-21
94,94,0.0,Simulated Annealing,2025-07-28_12-24-21
95,95,0.0,Simulated Annealing,2025-07-28_12-24-21
96,96,0.0,Simulated Annealing,2025-07-28_12-24-21
97,97,0.0,Simulated Annealing,2025-07-28_12-24-21
98,98,0.0,Simulated Annealing,2025-07-28_12-24-21
99,99,0.0,Simulated Annealing,2025-07-28_12-24-21
100,100,0.0,Simulated Annealing,2025-07-28_12-24-21
