Solution_ID,Iteration,Reward,Method,Timestamp
1,1,754.9659253412856,Random Search,2025-07-28_13-24-27
2,1,756.1479419582492,Random Search,2025-07-28_13-24-27
3,1,762.4108786354724,Random Search,2025-07-28_13-24-27
4,1,748.915270561679,Random Search,2025-07-28_13-24-27
5,1,748.2745552836802,Random Search,2025-07-28_13-24-27
6,1,758.1832669918722,Random Search,2025-07-28_13-24-27
7,1,745.4455681365155,Random Search,2025-07-28_13-24-27
8,1,739.6988953784979,Random Search,2025-07-28_13-24-27
9,1,757.2514272693838,Random Search,2025-07-28_13-24-27
10,1,754.381453187336,Random Search,2025-07-28_13-24-27
11,1,756.2630196102941,Random Search,2025-07-28_13-24-27
12,1,749.5597775337237,Random Search,2025-07-28_13-24-27
13,1,763.1595783936607,Random Search,2025-07-28_13-24-27
14,1,745.2190027042882,Random Search,2025-07-28_13-24-27
15,1,748.1981901857824,Random Search,2025-07-28_13-24-27
16,1,754.1131514532705,Random Search,2025-07-28_13-24-27
17,1,741.0775025901834,Random Search,2025-07-28_13-24-27
18,1,755.5505082570369,Random Search,2025-07-28_13-24-27
19,1,760.5835416057625,Random Search,2025-07-28_13-24-27
20,1,761.5058059001776,Random Search,2025-07-28_13-24-27
21,1,746.1175688896799,Random Search,2025-07-28_13-24-27
22,1,763.0265684543025,Random Search,2025-07-28_13-24-27
23,1,750.3647204569857,Random Search,2025-07-28_13-24-27
24,1,751.8796065420818,Random Search,2025-07-28_13-24-27
25,1,742.514660291194,Random Search,2025-07-28_13-24-27
26,1,758.0558785805472,Random Search,2025-07-28_13-24-27
27,1,756.7013594840267,Random Search,2025-07-28_13-24-27
28,1,741.8583172569879,Random Search,2025-07-28_13-24-27
29,1,740.7278955566155,Random Search,2025-07-28_13-24-27
30,1,748.8078902817515,Random Search,2025-07-28_13-24-27
31,1,748.588025492278,Random Search,2025-07-28_13-24-27
32,1,754.8208946597805,Random Search,2025-07-28_13-24-27
33,1,744.1255207216162,Random Search,2025-07-28_13-24-27
34,1,743.0411919130962,Random Search,2025-07-28_13-24-27
35,1,756.918540759691,Random Search,2025-07-28_13-24-27
36,1,757.2860581603426,Random Search,2025-07-28_13-24-27
37,1,761.7088690922646,Random Search,2025-07-28_13-24-27
38,1,763.1974076343186,Random Search,2025-07-28_13-24-27
39,1,742.910241668934,Random Search,2025-07-28_13-24-27
40,1,761.842742802404,Random Search,2025-07-28_13-24-27
41,1,739.6080525772248,Random Search,2025-07-28_13-24-27
42,1,739.7485575459772,Random Search,2025-07-28_13-24-27
43,1,749.5444744967342,Random Search,2025-07-28_13-24-27
44,1,758.8990908837701,Random Search,2025-07-28_13-24-27
45,1,753.9391094779327,Random Search,2025-07-28_13-24-27
46,1,740.4410144297432,Random Search,2025-07-28_13-24-27
47,1,753.543291174446,Random Search,2025-07-28_13-24-27
48,1,740.0045210126582,Random Search,2025-07-28_13-24-27
49,1,744.7765987119321,Random Search,2025-07-28_13-24-27
50,1,761.552786081753,Random Search,2025-07-28_13-24-27
