Solution_ID,Iteration,Reward,Method,Timestamp
1,1,759.3873950471781,Greedy,2025-07-28_13-24-27
2,2,743.6434897350076,Greedy,2025-07-28_13-24-27
3,3,741.9602315731655,Greedy,2025-07-28_13-24-27
4,4,750.5890103786415,Greedy,2025-07-28_13-24-27
5,5,750.5884205437786,Greedy,2025-07-28_13-24-27
6,6,746.6171505921176,Greedy,2025-07-28_13-24-27
7,7,759.341552533859,Greedy,2025-07-28_13-24-27
8,8,748.136711048898,Greedy,2025-07-28_13-24-27
9,9,752.6670612781613,Greedy,2025-07-28_13-24-27
10,10,751.0324221906184,Greedy,2025-07-28_13-24-27
11,11,740.3833562874665,Greedy,2025-07-28_13-24-27
12,12,759.0544791506308,Greedy,2025-07-28_13-24-27
13,13,753.0058195999833,Greedy,2025-07-28_13-24-27
14,14,759.5266755554544,Greedy,2025-07-28_13-24-27
15,15,759.2388436117575,Greedy,2025-07-28_13-24-27
16,16,758.362652099311,Greedy,2025-07-28_13-24-27
17,17,745.3122526301157,Greedy,2025-07-28_13-24-27
18,18,762.1750496142245,Greedy,2025-07-28_13-24-27
19,19,742.2477093900296,Greedy,2025-07-28_13-24-27
20,20,763.4135517260131,Greedy,2025-07-28_13-24-27
21,21,739.8253640491627,Greedy,2025-07-28_13-24-27
22,22,756.0769528559831,Greedy,2025-07-28_13-24-27
23,23,756.6667462242276,Greedy,2025-07-28_13-24-27
24,24,751.2177681034707,Greedy,2025-07-28_13-24-27
25,25,742.9078134348354,Greedy,2025-07-28_13-24-27
26,26,748.6866842585474,Greedy,2025-07-28_13-24-27
27,27,741.6819923814696,Greedy,2025-07-28_13-24-27
28,28,752.373180874283,Greedy,2025-07-28_13-24-27
29,29,752.8474515679235,Greedy,2025-07-28_13-24-27
30,30,760.7401421490764,Greedy,2025-07-28_13-24-27
31,31,740.565443980299,Greedy,2025-07-28_13-24-27
32,32,753.249595052175,Greedy,2025-07-28_13-24-27
33,33,761.8839145062303,Greedy,2025-07-28_13-24-27
34,34,741.7068411054327,Greedy,2025-07-28_13-24-27
35,35,744.3897685829378,Greedy,2025-07-28_13-24-27
36,36,749.7779290260005,Greedy,2025-07-28_13-24-27
37,37,742.95138246862,Greedy,2025-07-28_13-24-27
38,38,750.9768597783044,Greedy,2025-07-28_13-24-27
39,39,752.1353397862591,Greedy,2025-07-28_13-24-27
40,40,753.8324130051108,Greedy,2025-07-28_13-24-27
41,41,753.2284941351969,Greedy,2025-07-28_13-24-27
42,42,755.207952063438,Greedy,2025-07-28_13-24-27
43,43,749.6779748785915,Greedy,2025-07-28_13-24-27
44,44,761.6981846368724,Greedy,2025-07-28_13-24-27
45,45,740.338772247897,Greedy,2025-07-28_13-24-27
46,46,763.1029926944641,Greedy,2025-07-28_13-24-27
47,47,756.4933365703771,Greedy,2025-07-28_13-24-27
48,48,739.8271117003106,Greedy,2025-07-28_13-24-27
49,49,759.8753215305866,Greedy,2025-07-28_13-24-27
50,50,756.6509985359193,Greedy,2025-07-28_13-24-27
51,51,748.8455169879086,Greedy,2025-07-28_13-24-27
52,52,747.7503641406569,Greedy,2025-07-28_13-24-27
53,53,756.99816202971,Greedy,2025-07-28_13-24-27
54,54,749.8728818054036,Greedy,2025-07-28_13-24-27
55,55,761.9689956017901,Greedy,2025-07-28_13-24-27
56,56,745.6636644179048,Greedy,2025-07-28_13-24-27
57,57,753.5695483563424,Greedy,2025-07-28_13-24-27
58,58,761.4709341967148,Greedy,2025-07-28_13-24-27
59,59,742.871326221986,Greedy,2025-07-28_13-24-27
60,60,760.640463438849,Greedy,2025-07-28_13-24-27
61,61,752.7692112910873,Greedy,2025-07-28_13-24-27
62,62,748.2567466228409,Greedy,2025-07-28_13-24-27
63,63,741.6626788113786,Greedy,2025-07-28_13-24-27
64,64,761.5903349150649,Greedy,2025-07-28_13-24-27
65,65,761.1629888349308,Greedy,2025-07-28_13-24-27
66,66,754.0373636440928,Greedy,2025-07-28_13-24-27
