Method,Best_Reward,Mean_Reward,Std_Dev,Diversity,Coverage,N_Solutions,Elapsed_Time
GFlowNets,669.9364034972598,658.7126715682855,6.364404920119947,0.9,0.06364404920119947,20,0.6156399250030518
Nonlinear Programming,0.0,0.0,0.0,0.0,0.2,1,0.27252888679504395
Hill Climbing,667.4585808936848,659.7605528697947,6.881013601324883,1.0,0.06881013601324883,5,0.026745080947875977
Greedy,669.9930499952892,657.4668221301728,6.816033891899821,0.87,0.06816033891899821,100,0.047212839126586914
Simulated Annealing,0.0,0.0,0.0,0.01,0.0,100,0.06893491744995117
Random Search,669.2009883394868,657.4930605273667,6.999530915961192,0.9,0.06999530915961193,50,0.020734071731567383
