Solution_ID,Iteration,Reward,Method,Timestamp
1,1,1.0,Greedy,2025-07-28_13-09-01
2,2,1.0,Greedy,2025-07-28_13-09-01
3,3,1.0,Greedy,2025-07-28_13-09-01
4,4,1.0,Greedy,2025-07-28_13-09-01
5,5,1.0,Greedy,2025-07-28_13-09-01
6,6,1.0,Greedy,2025-07-28_13-09-01
7,7,1.0,Greedy,2025-07-28_13-09-01
8,8,1.0,Greedy,2025-07-28_13-09-01
9,9,1.0,Greedy,2025-07-28_13-09-01
10,10,1.0,Greedy,2025-07-28_13-09-01
11,11,1.0,Greedy,2025-07-28_13-09-01
12,12,1.0,Greedy,2025-07-28_13-09-01
13,13,1.0,Greedy,2025-07-28_13-09-01
14,14,1.0,Greedy,2025-07-28_13-09-01
15,15,1.0,Greedy,2025-07-28_13-09-01
16,16,1.0,Greedy,2025-07-28_13-09-01
17,17,1.0,Greedy,2025-07-28_13-09-01
18,18,1.0,Greedy,2025-07-28_13-09-01
19,19,1.0,Greedy,2025-07-28_13-09-01
20,20,1.0,Greedy,2025-07-28_13-09-01
21,21,1.0,Greedy,2025-07-28_13-09-01
22,22,1.0,Greedy,2025-07-28_13-09-01
23,23,1.0,Greedy,2025-07-28_13-09-01
24,24,1.0,Greedy,2025-07-28_13-09-01
25,25,1.0,Greedy,2025-07-28_13-09-01
26,26,1.0,Greedy,2025-07-28_13-09-01
27,27,1.0,Greedy,2025-07-28_13-09-01
28,28,1.0,Greedy,2025-07-28_13-09-01
29,29,1.0,Greedy,2025-07-28_13-09-01
30,30,1.0,Greedy,2025-07-28_13-09-01
31,31,1.0,Greedy,2025-07-28_13-09-01
32,32,1.0,Greedy,2025-07-28_13-09-01
33,33,1.0,Greedy,2025-07-28_13-09-01
34,34,1.0,Greedy,2025-07-28_13-09-01
35,35,1.0,Greedy,2025-07-28_13-09-01
36,36,1.0,Greedy,2025-07-28_13-09-01
37,37,1.0,Greedy,2025-07-28_13-09-01
38,38,1.0,Greedy,2025-07-28_13-09-01
39,39,1.0,Greedy,2025-07-28_13-09-01
40,40,1.0,Greedy,2025-07-28_13-09-01
41,41,1.0,Greedy,2025-07-28_13-09-01
42,42,1.0,Greedy,2025-07-28_13-09-01
43,43,1.0,Greedy,2025-07-28_13-09-01
44,44,1.0,Greedy,2025-07-28_13-09-01
45,45,1.0,Greedy,2025-07-28_13-09-01
46,46,1.0,Greedy,2025-07-28_13-09-01
47,47,1.0,Greedy,2025-07-28_13-09-01
48,48,1.0,Greedy,2025-07-28_13-09-01
49,49,1.0,Greedy,2025-07-28_13-09-01
50,50,1.0,Greedy,2025-07-28_13-09-01
51,51,1.0,Greedy,2025-07-28_13-09-01
52,52,1.0,Greedy,2025-07-28_13-09-01
53,53,1.0,Greedy,2025-07-28_13-09-01
54,54,1.0,Greedy,2025-07-28_13-09-01
55,55,1.0,Greedy,2025-07-28_13-09-01
56,56,1.0,Greedy,2025-07-28_13-09-01
57,57,1.0,Greedy,2025-07-28_13-09-01
58,58,1.0,Greedy,2025-07-28_13-09-01
59,59,1.0,Greedy,2025-07-28_13-09-01
60,60,1.0,Greedy,2025-07-28_13-09-01
61,61,1.0,Greedy,2025-07-28_13-09-01
62,62,1.0,Greedy,2025-07-28_13-09-01
63,63,1.0,Greedy,2025-07-28_13-09-01
64,64,1.0,Greedy,2025-07-28_13-09-01
65,65,1.0,Greedy,2025-07-28_13-09-01
66,66,1.0,Greedy,2025-07-28_13-09-01
67,67,1.0,Greedy,2025-07-28_13-09-01
68,68,1.0,Greedy,2025-07-28_13-09-01
69,69,1.0,Greedy,2025-07-28_13-09-01
70,70,1.0,Greedy,2025-07-28_13-09-01
71,71,1.0,Greedy,2025-07-28_13-09-01
72,72,1.0,Greedy,2025-07-28_13-09-01
73,73,1.0,Greedy,2025-07-28_13-09-01
74,74,1.0,Greedy,2025-07-28_13-09-01
75,75,1.0,Greedy,2025-07-28_13-09-01
76,76,1.0,Greedy,2025-07-28_13-09-01
77,77,1.0,Greedy,2025-07-28_13-09-01
78,78,1.0,Greedy,2025-07-28_13-09-01
79,79,1.0,Greedy,2025-07-28_13-09-01
80,80,1.0,Greedy,2025-07-28_13-09-01
81,81,1.0,Greedy,2025-07-28_13-09-01
82,82,1.0,Greedy,2025-07-28_13-09-01
83,83,1.0,Greedy,2025-07-28_13-09-01
84,84,1.0,Greedy,2025-07-28_13-09-01
85,85,1.0,Greedy,2025-07-28_13-09-01
86,86,1.0,Greedy,2025-07-28_13-09-01
87,87,1.0,Greedy,2025-07-28_13-09-01
88,88,1.0,Greedy,2025-07-28_13-09-01
89,89,1.0,Greedy,2025-07-28_13-09-01
90,90,1.0,Greedy,2025-07-28_13-09-01
91,91,1.0,Greedy,2025-07-28_13-09-01
92,92,1.0,Greedy,2025-07-28_13-09-01
93,93,1.0,Greedy,2025-07-28_13-09-01
94,94,1.0,Greedy,2025-07-28_13-09-01
95,95,1.0,Greedy,2025-07-28_13-09-01
96,96,1.0,Greedy,2025-07-28_13-09-01
97,97,1.0,Greedy,2025-07-28_13-09-01
98,98,1.0,Greedy,2025-07-28_13-09-01
99,99,1.0,Greedy,2025-07-28_13-09-01
100,100,1.0,Greedy,2025-07-28_13-09-01
