Method,Best_Reward,Mean_Reward,Std_Dev,Diversity,Coverage,N_Solutions,Elapsed_Time
GFlowNets,1.0,1.0,0.0,0.01,0.0,100,1.1791400909423828
Nonlinear Programming,1.0482189640208672,1.0241094820104335,0.034095956440945374,0.5,0.00034095956440945374,2,0.11543607711791992
Hill Climbing,0.0,0.0,0.0,0.0,0.2,0,0.10124611854553223
Greedy,1.0,1.0,0.0,0.01,0.0,100,0.4738199710845947
Simulated Annealing,1.0,1.0,0.0,0.01,0.0,100,0.1210629940032959
Random Search,1.0,1.0,0.0,0.02,0.0,50,0.08939790725708008
