Method,Best_Reward,Mean_Reward,Std_Dev,Diversity,Coverage,N_Solutions,Elapsed_Time
GFlowNets,669.9364034972598,658.7126715682855,6.364404920119947,0.9,0.06364404920119947,20,0.6637668609619141
Nonlinear Programming,668.1466492874756,334.0733246437378,472.4510265382439,1.0,4.724510265382439,2,0.02316904067993164
Hill Climbing,667.4585808936848,659.7605528697947,6.881013601324883,1.0,0.06881013601324883,5,0.017915010452270508
Greedy,669.9930499952892,657.4668221301728,6.816033891899821,0.87,0.06816033891899821,100,0.1074519157409668
Simulated Annealing,670.0549388804276,658.8650640498689,6.549764380783337,0.65,0.06549764380783336,100,0.030514955520629883
Random Search,669.2009883394868,657.4930605273667,6.999530915961192,0.9,0.06999530915961193,50,0.019517183303833008
