Solution_ID,Iteration,Reward,Method,Timestamp
1,1,0.0,Simulated Annealing,2025-07-28_12-23-12
2,2,0.0,Simulated Annealing,2025-07-28_12-23-12
3,3,0.0,Simulated Annealing,2025-07-28_12-23-12
4,4,0.0,Simulated Annealing,2025-07-28_12-23-12
5,5,0.0,Simulated Annealing,2025-07-28_12-23-12
6,6,0.0,Simulated Annealing,2025-07-28_12-23-12
7,7,0.0,Simulated Annealing,2025-07-28_12-23-12
8,8,0.0,Simulated Annealing,2025-07-28_12-23-12
9,9,0.0,Simulated Annealing,2025-07-28_12-23-12
10,10,0.0,Simulated Annealing,2025-07-28_12-23-12
11,11,0.0,Simulated Annealing,2025-07-28_12-23-12
12,12,0.0,Simulated Annealing,2025-07-28_12-23-12
13,13,0.0,Simulated Annealing,2025-07-28_12-23-12
14,14,0.0,Simulated Annealing,2025-07-28_12-23-12
15,15,0.0,Simulated Annealing,2025-07-28_12-23-12
16,16,0.0,Simulated Annealing,2025-07-28_12-23-12
17,17,0.0,Simulated Annealing,2025-07-28_12-23-12
18,18,0.0,Simulated Annealing,2025-07-28_12-23-12
19,19,0.0,Simulated Annealing,2025-07-28_12-23-12
20,20,0.0,Simulated Annealing,2025-07-28_12-23-12
21,21,0.0,Simulated Annealing,2025-07-28_12-23-12
22,22,0.0,Simulated Annealing,2025-07-28_12-23-12
23,23,0.0,Simulated Annealing,2025-07-28_12-23-12
24,24,0.0,Simulated Annealing,2025-07-28_12-23-12
25,25,0.0,Simulated Annealing,2025-07-28_12-23-12
26,26,0.0,Simulated Annealing,2025-07-28_12-23-12
27,27,0.0,Simulated Annealing,2025-07-28_12-23-12
28,28,0.0,Simulated Annealing,2025-07-28_12-23-12
29,29,0.0,Simulated Annealing,2025-07-28_12-23-12
30,30,0.0,Simulated Annealing,2025-07-28_12-23-12
31,31,0.0,Simulated Annealing,2025-07-28_12-23-12
32,32,0.0,Simulated Annealing,2025-07-28_12-23-12
33,33,0.0,Simulated Annealing,2025-07-28_12-23-12
34,34,0.0,Simulated Annealing,2025-07-28_12-23-12
35,35,0.0,Simulated Annealing,2025-07-28_12-23-12
36,36,0.0,Simulated Annealing,2025-07-28_12-23-12
37,37,0.0,Simulated Annealing,2025-07-28_12-23-12
38,38,0.0,Simulated Annealing,2025-07-28_12-23-12
39,39,0.0,Simulated Annealing,2025-07-28_12-23-12
40,40,0.0,Simulated Annealing,2025-07-28_12-23-12
41,41,0.0,Simulated Annealing,2025-07-28_12-23-12
