Solution_ID,Iteration,Reward,Method,Timestamp
1,1,657.8290399554672,GFlowNets,2025-07-28_12-27-26
2,2,655.9840977901536,GFlowNets,2025-07-28_12-27-26
3,3,650.6636172113563,GFlowNets,2025-07-28_12-27-26
4,4,653.4773281492097,GFlowNets,2025-07-28_12-27-26
5,5,653.6779882472363,GFlowNets,2025-07-28_12-27-26
6,6,661.1920845763233,GFlowNets,2025-07-28_12-27-26
7,7,666.7211630502051,GFlowNets,2025-07-28_12-27-26
8,8,663.2603914279136,GFlowNets,2025-07-28_12-27-26
9,9,651.4488607757945,GFlowNets,2025-07-28_12-27-26
10,10,669.2849537986889,GFlowNets,2025-07-28_12-27-26
11,11,654.6525487946515,GFlowNets,2025-07-28_12-27-26
12,12,666.5446973981947,GFlowNets,2025-07-28_12-27-26
13,13,653.8100588464047,GFlowNets,2025-07-28_12-27-26
14,14,669.9364034972598,GFlowNets,2025-07-28_12-27-26
15,15,659.0039136599017,GFlowNets,2025-07-28_12-27-26
16,16,653.9500934268145,GFlowNets,2025-07-28_12-27-26
17,17,651.4333795655773,GFlowNets,2025-07-28_12-27-26
18,18,661.5544808311693,GFlowNets,2025-07-28_12-27-26
19,19,653.8402494733919,GFlowNets,2025-07-28_12-27-26
20,20,665.9880808899936,GFlowNets,2025-07-28_12-27-26
