timestamp,iteration,loss,reward_mean,reward_std,flow_consistency,time_elapsed
2025-03-01T17:50:38.664,10,668.6912051266914,0.0,0.0,NaN,9.709
2025-03-01T17:50:39.013,20,668.6912051266914,0.0,0.0,NaN,10.058
2025-03-01T17:50:39.331,30,668.6912051266914,0.0,0.0,NaN,10.376
2025-03-01T17:50:39.650,40,668.6912051266914,0.0,0.0,NaN,10.695
2025-03-01T17:50:39.969,50,668.6912051266914,0.0,0.0,NaN,11.014
2025-03-01T17:50:40.288,60,668.6912051266914,0.0,0.0,NaN,11.333
2025-03-01T17:50:40.608,70,668.6912051266914,0.0,0.0,NaN,11.653
2025-03-01T17:50:40.922,80,668.6912051266914,0.0,0.0,NaN,11.967
2025-03-01T17:50:41.238,90,668.6912051266914,0.0,0.0,NaN,12.283
2025-03-01T17:50:41.556,100,668.6912051266914,0.0,0.0,NaN,12.601
