Strategy,Reward,Cost_Efficiency,Exploration,Exploitation,Optimality,Overall_Score
Greedy,0.0,0.0,0.3,1.0,0.0,0.36
GFlowNet,0.530453088611015,1.4734808016972638,0.7,0.7174218143516917,0.530453088611015,0.5055215860786285
Random,0.0016329254948215404,0.08164627474107701,0.9,0.83,0.0016329254948215404,0.431122803143268
Entropy,0.0,0.0,0.7,1.0,0.0,0.43999999999999995
Ground Truth,1.0,10.0,0.2,1.0,1.0,1.0
