Grid World GFlowNet Results
Timestamp: 2025-07-24_22-23-40
========================================
📊 Evaluation Results:
   Successful evaluations: 50/50
   Mean Reward: 0.3
   High Reward (≥5.0) Rate: 0.0% (0/50)
   Max Reward (≥10.0) Rate: 2.0% (1/50)

📋 Sample Trajectories:
   1. (1,1) → (2,1) → (1,1) → (2,1) → (1,1) → (2,1) → (2,1) (Reward: 0.1)
   2. (1,1) → (2,1) → (1,1) → (1,2) → (1,3) → (1,4) → (1,4) (Reward: 0.1)
   3. (1,1) → (2,1) → (2,1) (Reward: 0.1)

📈 Reward Distribution:
   Reward 0.1: 49 samples (default terminal)
   Reward 5.0: 0 samples (positions (1,5) and (5,1))
   Reward 10.0: 1 samples (position (3,3))
   Other: 0 samples


Training Data:
Iteration 65: Loss=9.054903, Mean Reward=0.71562505, High Rewards=3, Successful=32
Iteration 66: Loss=13.304407, Mean Reward=0.71250015, High Rewards=4, Successful=32
Iteration 67: Loss=6.0918484, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 68: Loss=6.8421183, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 69: Loss=7.8876147, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 70: Loss=10.47803, Mean Reward=1.0281248, High Rewards=3, Successful=32
Iteration 71: Loss=8.695185, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 72: Loss=10.941576, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 73: Loss=10.468427, Mean Reward=1.3343747, High Rewards=5, Successful=32
Iteration 74: Loss=9.188168, Mean Reward=0.56250006, High Rewards=2, Successful=32
Iteration 75: Loss=5.39034, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 76: Loss=7.494497, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 77: Loss=6.061737, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 78: Loss=9.841988, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 79: Loss=8.935253, Mean Reward=0.40937507, High Rewards=1, Successful=32
Iteration 80: Loss=7.7157154, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 81: Loss=7.263824, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 82: Loss=10.9127865, Mean Reward=0.40625006, High Rewards=2, Successful=32
Iteration 83: Loss=8.697211, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 84: Loss=6.414208, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 85: Loss=6.5488453, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 86: Loss=7.5686655, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 87: Loss=7.0063014, Mean Reward=0.40625018, High Rewards=2, Successful=32
Iteration 88: Loss=7.2567153, Mean Reward=0.7156252, High Rewards=3, Successful=32
Iteration 89: Loss=8.647707, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 90: Loss=8.623568, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 91: Loss=6.2442384, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 92: Loss=12.468599, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 93: Loss=8.235557, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 94: Loss=8.052571, Mean Reward=0.7156251, High Rewards=3, Successful=32
Iteration 95: Loss=7.6383963, Mean Reward=0.40625006, High Rewards=2, Successful=32
Iteration 96: Loss=8.750934, Mean Reward=0.56250006, High Rewards=2, Successful=32
Iteration 97: Loss=9.207027, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 98: Loss=9.355895, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 99: Loss=7.740253, Mean Reward=0.71875024, High Rewards=2, Successful=32
Iteration 100: Loss=8.759129, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 101: Loss=5.905747, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 102: Loss=5.609252, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 103: Loss=7.912807, Mean Reward=0.40625003, High Rewards=2, Successful=32
Iteration 104: Loss=6.6642294, Mean Reward=0.409375, High Rewards=1, Successful=32
Iteration 105: Loss=9.710829, Mean Reward=0.40625006, High Rewards=2, Successful=32
Iteration 106: Loss=6.2272053, Mean Reward=0.40937513, High Rewards=1, Successful=32
Iteration 107: Loss=6.7378654, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 108: Loss=8.049032, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 109: Loss=7.6864986, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 110: Loss=5.648775, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 111: Loss=7.791736, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 112: Loss=8.0646715, Mean Reward=0.5625002, High Rewards=2, Successful=32
Iteration 113: Loss=9.244457, Mean Reward=0.5625, High Rewards=2, Successful=32
Iteration 114: Loss=9.665414, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 115: Loss=11.3387785, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 116: Loss=7.892023, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 117: Loss=10.025089, Mean Reward=0.40937522, High Rewards=1, Successful=32
Iteration 118: Loss=8.183736, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 119: Loss=9.602544, Mean Reward=0.71562505, High Rewards=3, Successful=32
Iteration 120: Loss=8.438214, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 121: Loss=6.604966, Mean Reward=1.178125, High Rewards=5, Successful=32
Iteration 122: Loss=6.794772, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 123: Loss=10.968089, Mean Reward=0.86875015, High Rewards=4, Successful=32
Iteration 124: Loss=5.641867, Mean Reward=0.40937507, High Rewards=1, Successful=32
Iteration 125: Loss=10.165777, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 126: Loss=7.032502, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 127: Loss=6.521559, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 128: Loss=9.169963, Mean Reward=0.40937513, High Rewards=1, Successful=32
Iteration 129: Loss=8.711598, Mean Reward=0.099999964, High Rewards=0, Successful=32
