iteration,loss,gradient_norm,iteration_time,is_valid
1,109.30749868836324,67.1115430822711,10.082140922546387,true
2,117.35708361716644,53.426199178255054,0.5211811065673828,true
3,363.25141245476124,170.87896277550178,1.299098014831543,true
4,631.2048151736913,299.12168282250985,1.5677220821380615,true
5,601.7939994908518,219.0559466161389,1.5651228427886963,true
6,1248.3744768967385,775.3432297540569,1.9012320041656494,true
7,1870.8419095780714,949.2830860479694,2.783769130706787,true
8,1411.5423005116795,500.23840953373866,2.5687060356140137,true
9,3194.3870757268555,1021.0945987943903,2.4666948318481445,true
10,3026.0827448935506,1076.4004614924359,2.6443440914154053,true
11,2901.923937934234,884.2074635801836,2.720176935195923,true
12,1315.042739376372,776.1258994770299,2.388463020324707,true
13,3230.908206898736,1367.6145566152925,3.045081853866577,true
14,2437.2866584766357,1112.5598563323006,2.5522329807281494,true
15,577.6310042886652,430.8022885772143,1.6276240348815918,true
16,2278.2030421637514,1433.597816598707,2.941901206970215,true
17,824.3767282791923,249.2633843684574,1.6528398990631104,true
18,459.82013059785197,167.15322168535874,1.4093220233917236,true
19,434.5862965691252,307.5619950380137,1.3358449935913086,true
20,252.41849038271516,193.10663132571344,0.8395318984985352,true
21,525.2494392444553,361.0664728835354,1.5690281391143799,true
22,401.42690074588023,317.0631964755639,1.1907789707183838,true
23,828.5781574392445,368.972774054291,2.5691261291503906,true
24,777.1213535043697,287.59619224521794,2.15342378616333,true
25,904.2739466021166,235.71966967026844,2.388036012649536,true
26,420.5629386317005,565.2972967550536,2.238603115081787,true
27,462.65675299508774,347.0167584820097,2.140537977218628,true
28,562.4774849181243,479.0998853621648,1.9958341121673584,true
29,295.64362962726693,232.8720941744897,1.155566930770874,true
30,416.6061748257658,470.85079201118674,1.254457950592041,true
31,281.5657965842963,89.45677179059645,1.1978070735931396,true
32,279.87828092430925,165.83062118912466,1.4499139785766602,true
33,197.85509027165412,150.74581765014054,1.0645649433135986,true
34,151.91567204455802,228.12761024900044,0.7523031234741211,true
35,133.2313587189745,154.41312727076976,0.949970006942749,true
36,154.13131562051623,119.7880018127043,0.9704940319061279,true
37,82.13574206840276,89.7904723421988,0.5584850311279297,true
38,173.49705766439328,192.9075032421418,0.625579833984375,true
39,93.29835339765933,51.88535280557989,0.4267277717590332,true
40,174.19501740507684,115.41156543714905,0.6566891670227051,true
41,231.52503774911946,264.14903541781257,0.6183860301971436,true
42,349.44724488522826,299.4182438355874,1.1128830909729004,true
43,284.13767564722104,100.79023865749468,1.025108814239502,true
44,174.95201283659327,213.11832413545378,0.6767661571502686,true
45,603.3686551219268,150.84630103161678,1.2030599117279053,true
46,458.7049006348366,423.52680945191696,1.4736149311065674,true
47,401.910501006247,132.5073769924121,1.1164422035217285,true
48,485.28408972117086,483.8227845245485,1.7625279426574707,true
49,527.5699793652013,82.79014807642444,1.3456389904022217,true
50,554.3251469052177,154.92528169543874,1.797292947769165,true
