timestamp,iteration,loss,reward_mean,reward_std,flow_consistency,time_elapsed
2025-03-01T17:59:38.882,10,668.6912051266914,0.0,0.0,NaN,10.314
2025-03-01T17:59:39.246,20,668.6912051266914,0.0,0.0,NaN,10.678
2025-03-01T17:59:39.579,30,668.6912051266914,0.0,0.0,NaN,11.011
2025-03-01T17:59:39.918,40,668.6912051266914,0.0,0.0,NaN,11.35
2025-03-01T17:59:40.271,50,668.6912051266914,0.0,0.0,NaN,11.703
2025-03-01T17:59:40.617,60,668.6912051266914,0.0,0.0,NaN,12.049
2025-03-01T17:59:40.960,70,668.6912051266914,0.0,0.0,NaN,12.392
2025-03-01T17:59:41.300,80,668.6912051266914,0.0,0.0,NaN,12.732
2025-03-01T17:59:41.643,90,668.6912051266914,0.0,0.0,NaN,13.075
2025-03-01T17:59:42.008,100,668.6912051266914,0.0,0.0,NaN,13.44
