current_month,trajectory_id,reward,planning_horizon,trajectory_length,is_terminal,service_level,total_cost
1,1,100.0,3,1,true,265000.0,0.715
1,2,100.0,3,1,true,280000.0,0.73
1,3,100.0,3,1,true,295000.0,0.745
1,4,100.0,3,1,true,310000.0,0.76
1,5,100.0,3,1,true,325000.0,0.7749999999999999
1,6,100.0,3,1,true,340000.0,0.7899999999999999
1,7,100.0,3,1,true,355000.0,0.8049999999999999
1,8,100.0,3,1,true,370000.0,0.82
1,9,100.0,3,1,true,385000.0,0.835
1,10,100.0,3,1,true,400000.0,0.85
1,11,100.0,3,1,true,415000.0,0.865
1,12,100.0,3,1,true,430000.0,0.8799999999999999
1,13,100.0,3,1,true,445000.0,0.895
1,14,100.0,3,1,true,460000.0,0.9099999999999999
1,15,100.0,3,1,true,475000.0,0.9249999999999999
1,16,100.0,3,1,true,490000.0,0.94
1,17,100.0,3,1,true,505000.0,0.955
1,18,100.0,3,1,true,520000.0,0.97
1,19,100.0,3,1,true,535000.0,0.9849999999999999
1,20,100.0,3,1,true,550000.0,1.0
